asymmetric_0.5.tree,asymmetric_0.5.tree_reduced
6,6
4,2
0,0
2,4
8,8
2,2
4,2
4,4
2,2
4,2
0,2
2,2
2,2
4,2
6,4
2,0
4,4
4,4
2,2
6,6
2,2
4,4
6,6
4,4
8,6
8,10
8,8
8,8
8,6
0,0
8,8
8,8
6,6
2,0
2,2
2,2
2,2
6,4
8,6
6,6
4,2
4,4
4,4
2,2
2,2
4,4
2,2
4,4
10,6
6,6
2,2
4,4
2,2
0,0
6,8
4,4
6,6
6,6
6,6
8,8
4,2
6,6
6,6
4,8
10,8
12,10
8,8
4,4
4,4
2,4
0,2
0,4
6,6
4,4
4,4
2,6
2,2
6,4
2,6
6,4
2,2
2,2
4,4
2,2
4,4
2,4
4,4
6,6
2,2
0,0
2,2
8,4
4,4
8,4
8,6
4,4
6,6
4,4
4,2
4,2
0,0
8,8
6,6
4,6
4,2
6,6
6,6
4,0
2,2
4,4
6,6
4,4
4,4
6,4
2,2
4,4
4,4
0,2
2,8
8,8
6,0
4,6
10,8
2,2
2,2
8,6
4,4
2,4
2,4
4,2
6,6
4,2
2,2
4,4
0,0
4,4
4,4
8,8
4,4
4,4
asymmetric_1.0.tree,asymmetric_1.0.tree_reduced
10,10
8,10
10,8
16,12
10,10
14,14
6,6
10,12
8,8
18,18
8,6
12,12
6,8
6,6
6,6
6,4
10,10
8,10
4,12
8,6
8,8
12,14
4,6
10,12
12,12
8,8
8,6
10,10
10,10
8,8
8,12
8,10
8,8
10,10
8,8
18,18
14,16
8,6
8,8
8,8
4,4
16,14
12,8
12,12
16,12
6,6
10,10
12,12
12,12
10,12
12,6
2,6
8,8
10,12
18,16
4,4
4,2
12,16
10,10
8,10
8,8
8,8
8,8
6,8
12,14
10,10
6,6
8,10
8,10
12,12
10,10
8,8
6,6
16,14
10,8
8,8
6,6
8,6
8,6
12,12
10,10
6,6
12,8
8,14
6,8
10,12
10,12
12,12
4,6
8,6
8,8
8,8
8,8
6,6
16,16
14,12
10,10
12,12
12,12
8,8
16,16
6,8
8,6
10,10
12,10
8,8
6,8
6,6
12,10
8,8
8,10
6,6
12,12
4,6
12,10
10,10
10,8
10,10
12,10
12,12
6,6
6,6
10,10
6,6
10,10
10,14
10,10
10,10
10,8
8,4
10,12
10,8
12,10
12,10
12,12
14,8
4,4
8,10
8,8
10,10
12,10
6,6
8,6
10,8
10,12
8,8
10,10
8,8
8,8
12,12
10,12
6,6
12,12
10,10
12,14
8,10
10,10
12,10
6,6
12,12
8,14
10,4
10,8
12,8
6,6
12,12
8,8
4,4
16,10
10,12
12,14
10,8
12,10
8,12
10,10
10,10
12,10
8,12
8,8
8,8
8,8
10,10
8,4
8,10
4,4
4,8
8,6
12,12
8,8
6,6
12,16
8,8
8,6
16,12
14,12
18,18
4,4
8,6
8,12
10,10
10,10
6,4
8,6
8,8
6,4
8,8
8,8
10,14
10,10
18,18
8,10
10,12
8,14
12,12
12,10
8,6
10,10
8,18
4,6
10,10
10,10
8,8
10,12
12,12
6,6
10,10
12,12
10,10
10,10
10,12
10,10
8,12
6,8
8,10
12,12
10,8
14,8
10,10
6,4
8,8
8,8
8,6
10,8
6,4
6,8
10,10
10,10
16,16
6,6
12,12
10,8
6,6
12,12
12,14
16,14
10,8
8,10
10,10
8,6
12,12
6,8
14,14
10,8
10,12
12,10
8,8
6,10
14,12
14,14
14,8
10,6
10,10
8,10
10,12
8,6
10,12
12,10
6,8
4,6
8,8
8,6
10,10
10,8
6,10
6,6
6,4
8,6
4,4
12,12
14,12
12,8
16,16
10,10
8,8
8,8
8,8
12,12
8,10
12,12
12,8
symmetric_2.0.tree,symmetric_2.0.tree_reduced
6,4
8,6
6,6
10,12
2,0
4,4
12,10
4,8
10,8
2,4
2,4
4,4
12,10
4,6
4,6
10,10
8,8
4,0
4,6
2,8
10,10
10,4
12,8
10,10
10,10
6,4
10,10
6,6
6,2
4,4
4,6
8,10
2,2
4,4
6,2
8,10
8,6
4,4
14,6
4,2
6,12
10,10
8,8
6,6
6,2
2,4
8,6
6,8
6,6
8,6
8,4
8,6
16,16
6,8
8,6
4,6
10,8
10,10
10,10
4,6
10,6
8,4
8,6
12,12
8,6
6,8
2,6
6,4
6,2
4,6
2,4
6,6
6,4
6,6
10,8
10,8
6,6
0,2
12,10
6,6
4,10
4,4
10,12
10,2
8,8
4,6
10,6
10,10
12,6
6,6
2,2
10,10
8,6
10,10
0,4
10,4
2,2
4,0
2,4
4,6
8,4
10,8
2,0
6,8
12,10
10,12
12,6
10,8
4,4
8,6
8,10
6,6
12,12
6,8
2,6
6,8
6,2
12,10
2,4
6,8
6,4
4,8
10,8
4,6
8,6
4,6
8,8
12,10
8,4
6,4
2,6
10,4
10,10
8,10
12,10
2,4
6,6
10,8
8,12
10,8
10,6
8,6
8,8
8,8
8,6
8,8
10,6
6,4
8,10
6,6
6,4
10,10
10,10
10,8
6,4
8,10
6,6
2,6
4,4
10,4
2,4
10,10
6,4
10,8
4,10
2,2
8,8
6,4
10,10
6,4
10,10
4,0
12,12
6,2
6,8
10,12
8,2
14,4
6,12
4,6
2,6
8,8
10,6
6,8
6,6
0,2
10,10
4,4
10,6
8,6
6,10
2,2
4,4
6,6
2,2
2,4
2,4
8,8
10,10
8,10
10,6
6,6
12,12
6,4
6,4
6,2
8,8
10,6
4,4
4,4
8,8
4,6
8,8
2,0
2,2
10,10
4,4
2,4
10,8
10,10
10,10
4,10
4,2
10,6
10,8
10,8
4,2
10,12
14,6
2,2
14,14
4,2
4,10
10,8
8,4
4,8
14,6
10,8
10,10
8,8
6,6
12,8
10,8
14,12
4,4
6,4
6,2
6,4
8,6
2,2
10,6
2,2
8,10
2,6
6,6
8,8
4,2
4,2
8,8
6,6
2,2
6,10
0,0
6,8
4,6
2,2
14,12
6,6
4,0
10,10
6,6
6,4
8,8
6,12
10,12
6,8
6,12
8,8
6,8
10,10
6,8
8,8
8,12
10,6
12,14
8,10
4,6
10,8
6,10
12,10
8,8
8,4
4,4
6,8
6,4
10,2
10,6
2,2
6,8
6,4
